date,device,power_usage,temperature
2024-11-30,Lenovo ThinkCentre M70,0.0045,29.73
2024-05-19,Samsung MS23F301,0.0222,34.28
2025-10-11,Samsung UA43T5400,0.0023,33.29
2025-07-04,Philips Ace Saver,0.0004,27.15
2024-10-27,Bajaj MX3,0.0436,23.97
2025-05-26,Orient Winter HC,0.0423,26.62
2025-04-22,Panasonic SR-WA18,0.0174,28.52
2025-11-29,Philips HD3119,0.0073,31.67
2025-02-02,Samsung LF24T350,0.0006,31.08
2024-01-15,HP Pavilion 14,0.0014,32.07
2025-11-21,Syska SSK-BLS-9W,0.0004,28.64
2025-12-05,LG 43LM5650,0.0058,31.24
2025-06-16,Lenovo ThinkCentre M70,0.0086,26.66
2024-01-30,Samsung MS23F301,0.071,31.16
2025-11-07,Samsung EP-TA800,0.0006,27.8
2024-04-05,CRI MHBS,0.0575,33.89
2025-08-20,LG KS-Q18,0.019,28.23
2024-04-26,Philips GC1905,0.0202,30.86
2026-01-03,Lenovo ThinkCentre M70,0.0089,29.1
2025-01-26,Orient Winter HC,0.1082,31.46
2024-05-29,Daikin FTKF 1.5T,0.0756,28.0
2024-05-08,Orient Winter HC,0.0261,29.62
2024-12-27,Philips HD3119,0.0123,32.96
2025-04-11,Samsung UA43T5400,0.003,27.21
2025-11-12,CRI MHBS,0.0186,30.74
2025-03-09,LG 24MP60G,0.0016,35.13
2024-10-10,Panasonic F-M12D3,0.0008,32.8
2024-02-21,TP-Link Archer C6,0.0003,32.7
2024-07-16,CRI MHBS,0.0241,30.27
2024-02-23,Samsung RT28T,0.007,29.98
2026-01-05,CRI MHBS,0.0272,27.99
2025-04-23,Bosch WAK24168,0.0145,30.69
2025-08-08,Whirlpool IF INV 278,0.0049,27.28
2024-04-22,TP-Link Archer C6,0.0005,28.2
2025-02-26,Lenovo IdeaPad 3,0.0021,31.28
2025-06-20,Daikin FTKF 1.5T,0.0704,27.28
2025-12-02,Prestige PKOSS 1.5,0.0751,31.02
2025-08-23,Bosch WAK24168,0.0093,27.73
2025-10-14,Bajaj MX3,0.0532,30.77
2024-10-16,Samsung MS23F301,0.0302,30.38
2024-03-09,Dell P2422H,0.0012,32.93
2025-06-21,Samsung UA43T5400,0.0024,32.06
2025-12-08,Lenovo ThinkCentre M70,0.0032,30.42
2024-02-05,Prestige PKOSS 1.5,0.0443,30.89
2025-05-22,Xiaomi MDY-11,0.0002,26.75
2024-09-07,Havells Stealth Air,0.0018,27.49
2025-01-04,HP EliteDesk 800,0.0046,32.15
2024-01-20,Whirlpool IF INV 278,0.0055,28.61
2024-08-17,TP-Link Archer C6,0.0004,35.37
2025-08-29,Whirlpool IF INV 278,0.0074,33.33
2025-07-11,Xiaomi MDY-11,0.0004,30.47
2025-05-25,CRI MHBS,0.0244,25.96
2026-01-03,Samsung WA65A4002,0.0152,29.58
2024-08-29,Samsung EP-TA800,0.0001,31.39
2024-02-05,Usha Mist Air IC,0.0027,28.41
2025-02-14,Philips Ace Saver,0.0002,29.39
2025-01-15,LG KS-Q18,0.049,31.99
2024-06-20,Samsung LF24T350,0.0007,31.1
2025-10-03,Panasonic SR-WA18,0.0167,25.46
2024-01-18,Prestige PKOSS 1.5,0.0791,30.08
2025-07-11,Usha Mist Air IC,0.0021,28.07
2025-01-08,HP EliteDesk 800,0.0033,26.04
2024-12-16,Havells Leganza,0.0023,30.07
2025-09-19,Syska SSK-BLS-9W,0.0003,29.03
2024-09-13,Philips Ace Saver,0.0001,30.2
2025-10-24,LG GL-T302,0.0042,31.9
2024-07-27,LG 24MP60G,0.0039,29.64
2024-08-24,Philips HD3119,0.0213,34.28
2025-01-25,Kirloskar Mega 54S,0.0272,35.58
2024-02-04,Philips HD9306,0.047,30.84
2024-03-17,Bajaj MX3,0.0674,30.66
2024-01-08,Philips GC1905,0.0487,26.13
2025-01-06,Samsung LF24T350,0.0012,24.42
2024-09-04,Panasonic F-M12D3,0.001,34.92
2025-08-02,ASUS VivoBook 15,0.0034,34.49
2025-05-12,Whirlpool IF INV 278,0.0035,34.85
2025-07-13,HP EliteDesk 800,0.005,38.37
2024-08-26,HP Pavilion 14,0.0024,30.37
2024-09-01,Orient Apex,0.0023,27.21
2025-04-01,Philips Ace Saver,0.0004,28.84
2025-10-31,CRI MHBS,0.0191,25.93
2024-02-03,Lenovo ThinkCentre M70,0.0052,33.87
2024-12-24,Panasonic NN-ST34,0.0313,30.8
2025-12-22,Dell P2422H,0.0009,32.92
2025-09-16,Philips HD9306,0.0169,35.08
2024-12-25,Lenovo ThinkCentre M70,0.0042,30.56
2024-10-06,Xiaomi MDY-11,0.0003,31.82
2025-08-23,Orient Winter HC,0.0788,31.42
2024-10-27,CRI MHBS,0.0151,26.26
2025-03-06,LG FHM1207,0.019,36.23
2025-05-12,Panasonic NN-ST34,0.0357,32.23
2025-06-16,Dell OptiPlex 7090,0.0149,33.05
2025-08-27,Philips GC1905,0.0166,35.44
2025-01-12,Kirloskar Mega 54S,0.0409,31.24
2024-06-03,Syska SSK-BLS-9W,0.0005,29.45
2024-05-21,Dell P2422H,0.0007,31.32
2024-05-09,Samsung MS23F301,0.0153,29.45
2025-08-26,Prestige PKOSS 1.5,0.0426,29.27
2025-01-07,Lenovo ThinkCentre M70,0.0068,29.87
2024-02-22,Xiaomi MDY-11,0.0002,28.89
2025-10-06,Whirlpool IF INV 278,0.0095,31.69
2025-06-03,Orient Aeroquiet,0.0017,29.98
2024-08-19,Xiaomi MDY-11,0.0004,28.6
2025-09-04,Panasonic NN-ST34,0.0217,30.96
2024-09-19,Dell OptiPlex 7090,0.0049,28.4
2025-07-31,Panasonic SR-WA18,0.023,33.25
2025-11-14,Xiaomi MDY-11,0.0001,33.73
2024-04-08,Philips HD3119,0.0106,28.42
2025-02-08,LG 24MP60G,0.0018,36.21
2025-09-22,CRI MHBS,0.0301,28.62
2025-01-15,Daikin FTKF 1.5T,0.0305,26.65
2024-08-19,Samsung MS23F301,0.0175,34.68
2025-01-23,Orient Winter HC,0.1031,30.73
2025-08-31,LG 24MP60G,0.0016,29.7
2024-10-16,Usha Striker Galaxy,0.0022,26.58
2024-09-15,Samsung MS23F301,0.0173,34.66
2025-06-15,TP-Link Archer C6,0.0003,29.61
2025-11-12,LG 43LM5650,0.004,28.57
2024-10-29,Samsung LF24T350,0.0009,25.99
2025-12-03,Syska SSK-BLS-9W,0.0002,27.92
2024-10-05,Bajaj Majesty RX14,0.0685,32.26
2025-06-11,HP Pavilion 14,0.0023,33.56
2025-12-27,Bajaj MX3,0.0262,31.88
2025-11-07,Samsung MS23F301,0.0393,31.5
2025-07-26,Samsung UA43T5400,0.0043,31.16
2024-05-05,Usha Striker Galaxy,0.0013,28.43
2024-07-13,Sony Bravia X75,0.0047,37.28
2025-08-20,Samsung UA43T5400,0.0051,31.49
2025-12-07,Havells Leganza,0.0012,32.43
2025-07-23,Samsung EP-TA800,0.0003,31.82
2025-01-08,Panasonic F-M12D3,0.0018,26.31
2024-02-22,Havells Stealth Air,0.0037,29.74
2025-04-25,Panasonic SR-WA18,0.0241,33.74
2024-11-23,Bajaj Majesty RX14,0.0557,28.62
2025-04-09,Usha Striker Galaxy,0.0015,30.34
2024-02-15,ASUS VivoBook 15,0.0013,25.0
2025-12-20,LG GL-T302,0.0074,28.36
2024-08-16,Orient Aeroquiet,0.0021,29.52
2024-04-07,Orient Aeroquiet,0.0017,28.82
2025-07-12,LG 24MP60G,0.0007,27.41
2024-11-11,Samsung RT28T,0.0043,27.98
2025-05-22,Sony Bravia X75,0.0054,25.73
2024-12-09,LG KS-Q18,0.0394,23.54
2025-01-04,Bosch WAK24168,0.0166,31.78
2025-03-27,Samsung MS23F301,0.0433,37.26
2024-02-21,Bajaj MX3,0.0648,30.06
2025-12-12,Havells Stealth Air,0.0031,30.66
2025-07-04,LG GL-T302,0.0036,27.13
2024-04-24,LG 24MP60G,0.0008,31.31
2024-07-07,Dell Inspiron 3520,0.0025,30.05
2024-05-29,LG FHM1207,0.0195,30.05
2025-07-18,Bajaj Majesty RX14,0.0827,28.62
2025-08-09,Bosch WAK24168,0.0145,26.51
2025-06-08,ASUS VivoBook 15,0.0007,28.49
2025-07-09,Bajaj Majesty RX14,0.0735,33.27
2025-12-23,Philips GC1905,0.0694,32.65
2025-01-26,Bajaj MX3,0.0192,25.16
2025-08-24,Daikin FTKF 1.5T,0.057,32.74
2025-01-25,CRI MHBS,0.0188,24.92
2025-09-10,Daikin FTKF 1.5T,0.0361,29.93
2025-11-30,Philips Ace Saver,0.0004,34.93
2025-02-08,Orient Aeroquiet,0.0023,26.91
2024-08-06,LG GL-T302,0.0038,26.82
2024-06-04,CRI MHBS,0.0293,33.49
2024-02-10,Whirlpool IF INV 278,0.0138,26.02
2025-03-04,Dell P2422H,0.0008,28.56
2025-05-28,Samsung RT28T,0.0095,25.78
2024-08-19,Samsung LF24T350,0.0007,30.56
2025-05-25,Samsung LF24T350,0.0023,31.3
2025-08-28,LG GL-T302,0.0107,37.41
2025-12-24,Panasonic SR-WA18,0.0062,26.71
2025-02-18,CRI MHBS,0.0114,25.42
2024-03-27,Havells Stealth Air,0.0035,32.3
2025-12-05,Bosch WAK24168,0.0077,25.51
2024-08-10,Usha Striker Galaxy,0.0016,34.13
2025-01-08,HP Pavilion 14,0.0022,26.54
2025-02-28,Philips HD3119,0.0272,30.63
2024-09-01,HP EliteDesk 800,0.0094,31.26
2025-01-03,TP-Link Archer C6,0.0004,29.84
2025-10-20,Kirloskar Mega 54S,0.0394,26.75
2024-12-09,Usha Mist Air IC,0.0035,33.43
2024-04-27,Orient Apex,0.0018,28.9
2025-11-09,Netgear R6120,0.0003,29.0
2024-12-25,Usha Mist Air IC,0.0013,32.88
2024-08-31,Bosch WAK24168,0.0117,27.62
2024-12-26,LG KS-Q18,0.0891,34.91
2024-01-24,Netgear R6120,0.0001,29.3
2024-06-16,Philips HD3119,0.0148,28.83
2025-01-17,Philips HD3119,0.0265,23.46
2025-08-15,Kirloskar Mega 54S,0.0311,24.86
2024-08-17,Bajaj MX3,0.0317,33.71
2025-04-18,Netgear R6120,0.0003,26.59
2025-02-04,Dell Inspiron 3520,0.0016,30.23
2024-12-15,CRI MHBS,0.0114,25.4
2024-10-14,Samsung EP-TA800,0.0002,31.56
2024-08-04,Havells Leganza,0.002,33.68
2025-08-22,Samsung LF24T350,0.0025,34.36
2025-07-11,Lenovo ThinkCentre M70,0.0148,26.87
2024-10-03,Orient Aeroquiet,0.0022,23.42
2024-06-04,CRI MHBS,0.021,28.06
2025-01-15,Sony Bravia X75,0.0035,28.42
2025-07-26,Bosch WAK24168,0.0077,33.72
2024-05-24,Syska SSK-BLS-9W,0.0002,30.14
2025-02-05,Orient Apex,0.0024,28.23
2024-06-17,CRI MHBS,0.0333,31.9
2025-04-27,Bajaj Majesty RX14,0.0172,35.1
2024-11-05,LG GL-T302,0.0046,33.29
2024-12-31,Bajaj Majesty RX14,0.1087,31.98
2024-09-30,Panasonic NN-ST34,0.0118,27.24
2025-03-13,Philips GC1905,0.071,24.51
2024-06-22,TP-Link Archer C6,0.0004,29.8
2025-04-28,Samsung LF24T350,0.0012,29.21
2025-08-19,Usha Striker Galaxy,0.0035,30.91
2025-08-12,Kirloskar Mega 54S,0.0241,30.25
2025-03-10,Philips HD9306,0.0659,26.4
2025-03-01,Netgear R6120,0.0004,36.36
2024-06-25,Bosch WAK24168,0.0078,29.66
2024-12-02,Samsung MS23F301,0.0136,28.6
2025-06-27,Samsung RT28T,0.0042,27.0
2024-12-26,Usha Striker Galaxy,0.0028,31.48
2024-12-28,LG GL-T302,0.0019,26.1
2026-01-03,TP-Link Archer C6,0.0004,31.12
2025-11-25,Syska SSK-BLS-9W,0.0001,28.89
2025-01-23,Philips HD3119,0.012,29.11
2024-09-27,Syska SSK-BLS-9W,0.0003,28.03
2025-01-12,Havells Stealth Air,0.002,34.02
2025-09-22,Bosch WAK24168,0.0049,32.5
2025-12-05,Prestige PKOSS 1.5,0.0762,30.59
2024-01-14,Dell P2422H,0.0003,28.91
2025-01-01,Lenovo ThinkCentre M70,0.0095,33.64
2024-04-17,Orient Aeroquiet,0.0019,31.31
2025-04-28,Panasonic SR-WA18,0.0174,29.59
2024-09-15,Philips HD9306,0.0676,24.94
2024-11-19,LG 24MP60G,0.0014,32.67
2024-04-03,Havells Stealth Air,0.004,29.52
2025-09-11,CRI MHBS,0.0243,34.74
2024-07-28,Kirloskar Mega 54S,0.0165,30.21
2025-02-23,Whirlpool IF INV 278,0.0081,31.06
2024-06-27,Dell P2422H,0.0007,33.31
2025-08-26,Prestige PKOSS 1.5,0.0743,27.0
2024-11-02,Usha Mist Air IC,0.0013,32.69
2025-05-02,Samsung LF24T350,0.0014,34.74
2025-10-06,Dell OptiPlex 7090,0.0098,27.43
2025-09-19,Bajaj Majesty RX14,0.0891,29.35
2024-07-07,Prestige PKOSS 1.5,0.0339,31.49
2024-03-11,Dell OptiPlex 7090,0.0036,29.2
2024-01-21,Samsung WA65A4002,0.028,30.93
2025-08-08,Lenovo IdeaPad 3,0.0033,26.32
2024-05-31,Bajaj Majesty RX14,0.0536,30.09
2025-02-04,Usha Striker Galaxy,0.0039,28.56
2024-07-27,Bajaj Majesty RX14,0.0574,29.07
2024-03-10,Bajaj Majesty RX14,0.0393,31.43
2025-06-20,HP EliteDesk 800,0.0049,26.38
2025-03-03,LG GL-T302,0.0049,31.43
2025-06-13,Bajaj MX3,0.0324,30.66
2024-12-26,Bajaj Majesty RX14,0.0286,27.51
2025-11-09,Bosch WAK24168,0.0155,30.8
2024-02-08,Samsung WA65A4002,0.0163,32.78
2024-07-14,LG KS-Q18,0.0676,28.87
2025-11-24,Lenovo IdeaPad 3,0.0036,32.92
2025-01-25,ASUS VivoBook 15,0.0019,27.38
2025-11-09,LG KS-Q18,0.0704,28.13
2024-05-11,Dell OptiPlex 7090,0.0062,31.16
2025-04-13,Syska SSK-BLS-9W,0.0006,30.0
2025-12-03,Usha Striker Galaxy,0.0021,27.86
2024-02-11,LG KS-Q18,0.0404,32.94
2024-12-17,LG FHM1207,0.0275,35.9
2024-10-07,Philips Ace Saver,0.0003,30.2
2024-09-22,Lenovo ThinkCentre M70,0.0067,31.89
2025-04-18,Usha Mist Air IC,0.0008,31.77
2024-09-04,Philips HD9306,0.0418,31.5
2025-02-07,Philips HD3119,0.0303,28.12
2025-12-22,Samsung WA65A4002,0.011,28.15
2025-07-24,Usha Mist Air IC,0.0007,28.52
2025-09-13,Philips HD3119,0.0388,29.03
2024-11-14,LG GL-T302,0.0103,33.15
2024-05-31,Prestige PKOSS 1.5,0.0273,25.77
2025-10-18,Philips GC1905,0.038,30.73
2025-01-31,Kirloskar Mega 54S,0.008,26.5
2025-01-04,CRI MHBS,0.0133,31.24
2025-03-09,Philips GC1905,0.0479,29.2
2025-02-15,Philips Ace Saver,0.0003,29.54
2024-12-26,Prestige PKOSS 1.5,0.0658,31.05
2024-05-15,Panasonic NN-ST34,0.0333,30.89
2024-04-25,Philips HD9306,0.0222,29.62
2025-04-03,Syska SSK-BLS-9W,0.0006,34.35
2024-12-18,Dell OptiPlex 7090,0.0109,34.21
2025-06-04,Samsung WA65A4002,0.0297,29.48
2024-11-03,Whirlpool IF INV 278,0.0065,26.7
2024-08-25,LG FHM1207,0.0379,28.7
2025-06-12,Philips HD9306,0.0169,28.67
2024-02-20,Samsung UA43T5400,0.0022,30.22
2024-06-03,Xiaomi MDY-11,0.0002,28.67
2024-12-18,Samsung MS23F301,0.0383,28.2
2025-12-04,TP-Link Archer C6,0.0003,30.12
2025-02-01,Panasonic NN-ST34,0.0416,32.03
2024-09-20,Bajaj Majesty RX14,0.0294,23.7
2024-03-04,LG KS-Q18,0.0225,32.68
2026-01-04,Havells Leganza,0.0011,27.88
2025-05-03,Prestige PKOSS 1.5,0.057,29.95
2025-02-04,Lenovo IdeaPad 3,0.0027,32.06
2024-08-25,Kirloskar Mega 54S,0.0124,33.08
2025-11-16,LG FHM1207,0.0175,29.95
2025-04-30,Kirloskar Mega 54S,0.0342,32.35
2024-11-30,Prestige PKOSS 1.5,0.017,25.42
2024-06-21,Usha Mist Air IC,0.0021,32.07
2024-04-26,LG KS-Q18,0.048,28.79
2024-07-04,CRI MHBS,0.0168,31.46
2024-10-20,TP-Link Archer C6,0.0003,29.95
2025-11-06,Havells Stealth Air,0.0026,31.69
2025-12-17,HP EliteDesk 800,0.0057,26.72
2024-06-05,Samsung MS23F301,0.0383,22.17
2024-06-15,Bajaj MX3,0.0575,32.15
2024-03-11,Philips HD9306,0.0251,33.66
2025-04-17,Orient Apex,0.0024,26.34
2025-10-21,Bosch WAK24168,0.0287,32.29
2024-10-04,Panasonic SR-WA18,0.023,26.85
2025-03-18,LG GL-T302,0.0066,27.9
2024-03-18,Usha Mist Air IC,0.0007,30.85
2025-03-30,Bosch WAK24168,0.0062,29.95
2025-07-14,Orient Winter HC,0.0356,29.08
2025-05-05,CRI MHBS,0.0112,25.37
2025-03-12,LG FHM1207,0.0143,31.76
2025-04-29,TP-Link Archer C6,0.0006,32.81
2025-11-10,Xiaomi MDY-11,0.0005,29.28
2025-05-10,Lenovo IdeaPad 3,0.0029,33.99
2025-09-09,Lenovo ThinkCentre M70,0.0118,27.1
2024-01-18,Netgear R6120,0.0003,26.36
2024-10-27,Panasonic SR-WA18,0.0161,30.87
2024-09-27,Havells Stealth Air,0.0041,28.71
2024-04-21,HP EliteDesk 800,0.0165,27.08
2024-02-24,Panasonic SR-WA18,0.0186,32.04
2025-08-07,Samsung UA43T5400,0.0013,29.41
2024-01-23,LG GL-T302,0.007,27.7
2024-03-18,Bajaj MX3,0.0321,27.87
2024-09-18,Lenovo IdeaPad 3,0.0011,30.24
2024-01-09,Panasonic SR-WA18,0.0314,29.66
2024-10-15,Dell P2422H,0.0011,28.95
2024-04-08,Philips HD3119,0.0158,30.39
2025-03-03,Prestige PKOSS 1.5,0.0437,28.75
2025-11-15,Sony Bravia X75,0.0074,28.09
2025-04-27,Lenovo IdeaPad 3,0.0009,33.37
2024-03-07,Panasonic NN-ST34,0.0113,24.65
2025-11-07,LG GL-T302,0.002,24.43
2024-12-03,Lenovo ThinkCentre M70,0.0156,32.32
2025-06-09,Panasonic NN-ST34,0.0194,32.34
2025-02-14,Bajaj Majesty RX14,0.0827,29.13
2025-10-20,Lenovo IdeaPad 3,0.0021,29.79
2024-05-11,CRI MHBS,0.0119,31.68
2025-06-09,Havells Stealth Air,0.0016,25.97
2025-04-27,Samsung EP-TA800,0.0006,29.64
2024-09-08,Dell OptiPlex 7090,0.0022,27.19
2025-01-27,Netgear R6120,0.0002,30.58
2025-03-13,LG GL-T302,0.0053,25.65
2025-12-09,Panasonic NN-ST34,0.0565,34.45
2024-06-02,Panasonic F-M12D3,0.0033,31.12
2024-05-10,Bosch WAK24168,0.0055,27.32
2024-10-18,Xiaomi MDY-11,0.0005,24.82
2024-09-24,Lenovo IdeaPad 3,0.0018,30.73
2025-05-17,Lenovo IdeaPad 3,0.0013,34.27
2024-11-07,CRI MHBS,0.01,29.51
2025-12-01,Philips HD9306,0.0257,29.79
2025-01-07,Dell OptiPlex 7090,0.0097,29.53
2025-09-26,Philips GC1905,0.0817,35.0
2025-10-27,Dell P2422H,0.0026,31.18
2024-11-03,Samsung RT28T,0.0051,36.46
2025-01-03,Panasonic SR-WA18,0.0396,32.48
2024-02-16,CRI MHBS,0.0151,32.06
2024-06-08,Samsung EP-TA800,0.0005,29.33
2024-04-12,Samsung MS23F301,0.0204,30.56
2024-08-05,Philips HD9306,0.0731,31.16
2024-11-05,LG KS-Q18,0.0146,34.4
2025-11-09,Dell P2422H,0.0013,29.84
2025-09-16,Panasonic NN-ST34,0.0367,30.17
2025-12-01,Philips HD3119,0.0292,27.37
2025-10-13,Panasonic SR-WA18,0.0123,32.66
2025-12-08,Samsung RT28T,0.0122,31.35
2024-08-20,Philips Ace Saver,0.0005,29.91
2024-11-01,Samsung UA43T5400,0.0041,29.41
2025-03-27,Samsung UA43T5400,0.0061,29.93
2024-02-08,CRI MHBS,0.0475,25.16
2024-03-06,Samsung EP-TA800,0.0001,30.94
2025-05-24,Dell OptiPlex 7090,0.0133,30.29
2024-06-08,Daikin FTKF 1.5T,0.0315,34.63
2025-03-13,Panasonic NN-ST34,0.0373,29.2
2025-10-27,Samsung RT28T,0.011,28.2
2024-12-01,LG KS-Q18,0.0677,27.57
2025-10-30,Samsung MS23F301,0.0177,32.97
2024-09-20,Panasonic SR-WA18,0.0129,22.72
2025-12-22,ASUS VivoBook 15,0.0009,38.98
2024-05-03,Philips HD9306,0.0354,24.37
2025-11-14,Bajaj Majesty RX14,0.0431,33.98
2025-01-07,Xiaomi MDY-11,0.0002,28.64
2024-05-31,Netgear R6120,0.0002,34.56
2025-08-16,Samsung RT28T,0.0046,34.93
2024-04-14,LG 43LM5650,0.0068,31.57
2024-12-18,ASUS VivoBook 15,0.0012,25.25
2025-02-22,CRI MHBS,0.0285,34.6
2024-10-31,Kirloskar Mega 54S,0.0288,26.19
2025-09-06,Samsung LF24T350,0.001,33.55
2025-01-27,Bajaj Majesty RX14,0.0616,27.68
2025-11-19,Philips Ace Saver,0.0002,27.07
2026-01-06,Panasonic F-M12D3,0.0049,30.69
2025-07-26,Panasonic F-M12D3,0.0026,27.04
2025-05-21,LG GL-T302,0.0084,28.21
2025-03-17,Panasonic NN-ST34,0.0346,27.76
2025-07-10,Orient Aeroquiet,0.0008,36.1
2025-12-24,Samsung MS23F301,0.025,30.59
2025-09-12,Samsung EP-TA800,0.0004,28.02
2025-10-17,Daikin FTKF 1.5T,0.0867,30.62
2024-01-12,Panasonic SR-WA18,0.0227,27.21
2024-06-22,CRI MHBS,0.0273,27.39
2024-05-04,LG FHM1207,0.0246,31.79
2024-09-09,Dell Inspiron 3520,0.0013,33.82
2025-06-22,Philips HD3119,0.029,29.08
2024-06-30,Dell P2422H,0.0004,34.06
2025-04-09,Prestige PKOSS 1.5,0.0417,28.31
2025-11-01,Syska SSK-BLS-9W,0.0004,28.97
2024-10-30,Samsung WA65A4002,0.0104,31.73
2025-05-29,Philips GC1905,0.0674,31.5
2025-12-03,Samsung UA43T5400,0.0055,28.21
2024-03-27,Kirloskar Mega 54S,0.0194,26.23
2025-03-04,Orient Apex,0.0013,33.44
2024-12-23,Bajaj Majesty RX14,0.0787,30.85
2025-09-28,LG 24MP60G,0.0018,34.86
2024-12-16,Netgear R6120,0.0004,30.95
2024-05-29,Philips GC1905,0.0161,29.54
2025-12-01,Dell OptiPlex 7090,0.0115,29.73
2025-06-12,LG KS-Q18,0.0685,29.08
2025-07-19,Lenovo ThinkCentre M70,0.0052,31.65
2025-04-13,LG KS-Q18,0.0291,34.32
2025-10-23,Usha Striker Galaxy,0.0014,29.19
2025-06-04,HP Pavilion 14,0.0011,23.84
2025-11-21,Whirlpool IF INV 278,0.0035,30.42
2024-01-31,Daikin FTKF 1.5T,0.0427,31.42
2025-12-13,LG 43LM5650,0.0018,33.83
2025-07-10,Samsung UA43T5400,0.003,30.3
2025-01-06,HP EliteDesk 800,0.0084,31.6
2025-12-23,Netgear R6120,0.0005,27.93
2024-05-07,LG GL-T302,0.0046,30.4
2024-05-16,Bosch WAK24168,0.0227,28.04
2024-05-05,Samsung MS23F301,0.0205,30.12
2024-11-22,Philips HD9306,0.0457,29.61
2025-01-17,Samsung RT28T,0.0015,34.14
2025-10-17,Philips HD9306,0.0204,22.37
2025-03-15,Panasonic SR-WA18,0.0079,32.51
2024-05-10,Dell OptiPlex 7090,0.0066,31.1
2025-02-08,Philips GC1905,0.0269,29.56
2024-02-14,Orient Winter HC,0.0797,28.55
2024-01-12,Philips HD3119,0.0224,36.06
2024-12-06,Samsung UA43T5400,0.0046,29.74
2024-03-30,Orient Winter HC,0.061,34.7
2024-08-29,Samsung LF24T350,0.0009,27.23
2026-01-02,LG KS-Q18,0.057,32.46
2025-04-06,Samsung UA43T5400,0.0059,32.48
2024-04-23,Prestige PKOSS 1.5,0.0473,29.34
2025-09-24,Panasonic SR-WA18,0.0103,33.73
2025-03-10,TP-Link Archer C6,0.0001,25.6
2024-03-28,Kirloskar Mega 54S,0.0163,32.94
2025-04-28,Dell OptiPlex 7090,0.0063,27.72
2025-06-04,LG 43LM5650,0.0026,33.6
2025-11-07,Panasonic NN-ST34,0.017,34.12
2025-12-12,Dell P2422H,0.0021,34.77
2025-07-22,Netgear R6120,0.0004,29.79
2024-02-29,Sony Bravia X75,0.002,31.95
2024-03-23,Xiaomi MDY-11,0.0005,29.15
2024-04-14,Syska SSK-BLS-9W,0.0002,27.98
2024-03-01,Samsung UA43T5400,0.0033,34.23
2024-05-19,LG KS-Q18,0.0567,30.62
2024-12-08,Philips Ace Saver,0.0006,28.42
2024-05-15,LG 24MP60G,0.0007,33.98
2024-03-22,Dell OptiPlex 7090,0.0038,26.15
2024-10-27,Orient Winter HC,0.0574,30.58
2025-04-12,Kirloskar Mega 54S,0.0141,26.82
2024-09-27,Kirloskar Mega 54S,0.0213,25.22
2024-05-16,Orient Aeroquiet,0.0025,32.7
2024-11-28,LG KS-Q18,0.0478,30.55
2025-03-27,Daikin FTKF 1.5T,0.0334,27.48
2025-07-14,Panasonic NN-ST34,0.0425,26.88
2025-06-14,Philips GC1905,0.0624,29.93
2025-06-27,CRI MHBS,0.0292,33.85
2024-04-08,Philips HD3119,0.0402,27.83
2024-03-06,HP Pavilion 14,0.0022,30.37
2025-02-18,LG 24MP60G,0.0024,28.34
2024-04-11,Samsung WA65A4002,0.0069,27.94
2024-08-27,Lenovo ThinkCentre M70,0.0063,26.78
2025-10-25,Samsung RT28T,0.0051,31.87
2025-09-19,Bajaj MX3,0.0205,32.71
2024-06-08,HP Pavilion 14,0.0011,37.0
2024-07-13,Usha Striker Galaxy,0.0034,28.33
2024-03-24,Panasonic SR-WA18,0.0121,34.32
2024-05-12,Bajaj Majesty RX14,0.0193,29.89
2024-02-26,TP-Link Archer C6,0.0003,25.87
2025-10-22,Bosch WAK24168,0.015,31.95
2024-08-20,Orient Winter HC,0.0492,26.8
2025-03-29,TP-Link Archer C6,0.0001,29.16
2024-09-23,Philips GC1905,0.0841,22.51
2025-07-01,Samsung UA43T5400,0.002,30.86
2024-08-13,LG FHM1207,0.0149,32.52
2025-03-20,CRI MHBS,0.0416,30.36
2025-07-22,Samsung LF24T350,0.0008,30.03
2025-07-25,Philips HD3119,0.0248,29.41
2025-09-26,Samsung MS23F301,0.0212,35.04
2025-08-07,Bajaj Majesty RX14,0.0418,30.2
2024-05-17,Prestige PKOSS 1.5,0.0401,34.34
2024-01-19,CRI MHBS,0.0224,28.16
2024-06-14,Lenovo ThinkCentre M70,0.0063,33.18
2025-11-22,Lenovo ThinkCentre M70,0.0037,32.96
2025-10-28,Samsung EP-TA800,0.0005,31.51
2025-11-07,Bajaj Majesty RX14,0.0537,31.61
2025-01-25,Philips HD9306,0.0265,30.27
2024-04-29,Daikin FTKF 1.5T,0.1117,34.3
2024-12-24,Samsung MS23F301,0.0478,31.27
2025-06-11,Usha Striker Galaxy,0.003,29.49
2025-10-05,Bajaj MX3,0.0588,25.18
2025-09-13,Netgear R6120,0.0003,33.37
2025-06-07,Bajaj MX3,0.0284,28.9
2024-11-25,Kirloskar Mega 54S,0.0267,34.78
2025-12-22,Syska SSK-BLS-9W,0.0001,24.66
2025-09-24,HP Pavilion 14,0.0037,30.54
2024-12-12,LG FHM1207,0.0285,31.3
2025-06-01,Sony Bravia X75,0.0026,32.28
2025-02-10,Dell Inspiron 3520,0.0008,29.44
2025-04-06,Panasonic NN-ST34,0.0333,27.89
2025-07-26,Samsung EP-TA800,0.0001,31.47
2024-04-13,LG KS-Q18,0.0598,28.9
